MAPNAME,DESCR,MAINROCK,SIMPLENAME,KEYGRPNAME,TEXTCODE,FlowchartGroup
Kerikeri Volcanic Group Pleistocene basalt of Kaikohe   Bay of Islands Volcanic Field,Basalt lava and volcanic plugs.,basalt,Early Pleistocene   Late Pleistocene igneous rocks,Kerikeri Volcanic Group,Qvb,Group 17
Kerikeri Volcanic Group Pleistocene basalt of Kaikohe   Bay of Islands Volcanic Field,Basalt lava and volcanic plugs.,basalt,Early Pleistocene   Late Pleistocene igneous rocks,Kerikeri Volcanic Group,Qvb,Group 17
Kerikeri Volcanic Group Late Miocene basalt of Kaikohe   Bay of Islands Volcanic Field,Basalt lava  volcanic plugs and minor tuff.,basalt,Neogene igneous rocks,Kerikeri Volcanic Group,^vb,Group 17
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Kerikeri Volcanic Group Late Miocene basalt of Kaikohe   Bay of Islands Volcanic Field,Basalt lava  volcanic plugs and minor tuff.,basalt,Neogene igneous rocks,Kerikeri Volcanic Group,^vb,Group 17
OIS1 (Holocene) estuary deposits,Unconsolidated to poorly consolidated mud  sand and peat of estuarine origin.,mud,Holocene estuary deposits,Holocene sediments,Q1a,Group 5
Kerikeri Volcanic Group Late Miocene basalt of Kaikohe   Bay of Islands Volcanic Field,Basalt lava  volcanic plugs and minor tuff.,basalt,Neogene igneous rocks,Kerikeri Volcanic Group,^vb,Group 17
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
OIS1 (Holocene) river deposits of Tauranga Group,Sand  silt mud and clay with local gravel and peat beds.,mud,Holocene river deposits,Holocene sediments,Q1a,Group 5
Kerikeri Volcanic Group Late Miocene basalt of Kaikohe   Bay of Islands Volcanic Field,Basalt lava  volcanic plugs and minor tuff.,basalt,Neogene igneous rocks,Kerikeri Volcanic Group,^vb,Group 17
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
OIS4 OIS1 (Late Pleistocene to Holocene) estuary  river and swamp deposits,Unconsolidated to poorly consolidated sand  peat  mud and shell deposits (estuarine  lacustrine  swamp  alluvial and colluvial).,sand,Late Pleistocene   Holocene estuary  river and swamp deposits,Late Pleistocene   Holocene sediments,Q1a,Group 1
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
OIS1 (Holocene) swamp deposits,Unconsolidated to poorly consolidated carbonaceous mud and peat of swamp origin.,peat,Holocene swamp deposits,Holocene sediments,Q1a,Group 1
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
OIS1 (Holocene) swamp deposits,Unconsolidated to poorly consolidated carbonaceous mud and peat of swamp origin.,peat,Holocene swamp deposits,Holocene sediments,Q1a,Group 1
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
OIS1 (Holocene) ocean beach deposits of Karioitahi Group,Loose sand  gravel and shell underlying beaches and forming beach ridges and shell banks.,sand,Holocene shoreline deposits,Holocene sediments,Q1b,Group 09
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Early Pleistocene parabolic dunes,Weakly cemented and partly consolidated sand in parabolic dunes. Interdune lake and swamp deposits.,sand,Early Pleistocene windblown deposits,Early Pleistocene sediments,eQd,Group 09
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
OIS6+ (Early Pleistocene to Middle Pleistocene) estuary  river and swamp deposits,Partly consolidated mud  sand  gravel and peat or lignite of alluvial  colluvial  lacustrine  swamp and estuarine origins.,mud,Early Pleistocene   Middle Pleistocene undifferentiated estuary  river and swamp deposits,Early Pleistocene   Middle Pleistocene sediments,eQa,Group 1
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
OIS1 (Holocene) ocean beach deposits of Karioitahi Group,Loose sand  gravel and shell underlying beaches and forming beach ridges and shell banks.,sand,Holocene shoreline deposits,Holocene sediments,Q1b,Group 09
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
OIS1 (Holocene) swamp deposits,Unconsolidated to poorly consolidated carbonaceous mud and peat of swamp origin.,peat,Holocene swamp deposits,Holocene sediments,Q1a,Group 1
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Undifferentiated Tangihua Complex basalt in Northland Allochthon,Basaltic pillow lava and pillow breccia  with sills and dikes of basalt and dolerite.,basalt,Allochthonous rocks,Northland Allochthon,Ktb,Group 15
Whangai Formation (Mangakahia Complex) in Northland Allochthon,Fissile  dark grey to white weathering siliceous mudstone  blue grey calcareous mudstone  and minor micritic limestone and chert. Minor black carbonaceous shale (Waipawa Black Shale).,mudstone,Allochthonous rocks,Northland Allochthon,Kkw,Group 15
OIS1 (Holocene) ocean beach deposits of Karioitahi Group,Loose sand  gravel and shell underlying beaches and forming beach ridges and shell banks.,sand,Holocene shoreline deposits,Holocene sediments,Q1b,Group 09
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Waipapa Group melange (Waipapa Composite Terrane),Melange zones.,melange,Basement (Eastern Province) melange,Waipapa Composite Terrane,TJm,Group 15
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Undifferentiated Tangihua Complex basalt in Northland Allochthon,Basaltic pillow lava and pillow breccia  with sills and dikes of basalt and dolerite.,basalt,Allochthonous rocks,Northland Allochthon,Ktb,Group 15
Waipapa Group chert (Waipapa Composite Terrane),Beds dominated by chert and siliceous argillite.,chert,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJc,Group 15
OIS4 OIS1 (Late Pleistocene to Holocene) estuary  river and swamp deposits,Unconsolidated to poorly consolidated sand  peat  mud and shell deposits (estuarine  lacustrine  swamp  alluvial and colluvial).,sand,Late Pleistocene   Holocene estuary  river and swamp deposits,Late Pleistocene   Holocene sediments,Q1a,Group 1
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Waipapa Group melange (Waipapa Composite Terrane),Melange zones.,melange,Basement (Eastern Province) melange,Waipapa Composite Terrane,TJm,Group 15
OIS4 OIS1 (Late Pleistocene to Holocene) estuary  river and swamp deposits,Unconsolidated to poorly consolidated sand  peat  mud and shell deposits (estuarine  lacustrine  swamp  alluvial and colluvial).,sand,Late Pleistocene   Holocene estuary  river and swamp deposits,Late Pleistocene   Holocene sediments,Q1a,Group 1
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
OIS1 (Holocene) ocean beach deposits of Karioitahi Group,Loose sand  gravel and shell underlying beaches and forming beach ridges and shell banks.,sand,Holocene shoreline deposits,Holocene sediments,Q1b,Group 09
Waipapa Group metavolcanics (Waipapa Composite Terrane),Beds dominated by basaltic lava flows  pillow lavas and volcaniclastics.,basalt,Basement (Eastern Province) igneous rocks,Waipapa Composite Terrane,TJv,Group 17
