mu,de,mr,sn,KEYGRPNAME,uc,finalCategory
OIS2 (Late Pleistocene) fan deposits,Poorly sorted steep fan gravel deposits.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
Upton Formation siltstone (Awatere Group),Poorly sorted and poorly bedded channelised greywacke conglomerate with lenses of sandstone and sandy siltstone.,siltstone,Neogene sedimentary rocks,Awatere Group,Mau,19_undifSed
OIS1 (Holocene) landslide deposits,Earthflow deposits containing poorly sorted clasts up to boulder size in a clay matrix.,boulders,Holocene hill slope deposits,Holocene sediments,Q1l,99_unknown
OIS1 (Holocene) landslide deposits,Earthflow deposits containing poorly sorted clasts up to boulder size in a clay matrix.,boulders,Holocene hill slope deposits,Holocene sediments,Q1l,99_unknown
Undifferentiated Pleistocene to Holocene river deposits,Undifferentiated weathered  poorly sorted loess covered alluvial gravel deposits.,gravel,Pleistocene   Holocene river deposits,Pleistocene   Holocene sediments,uQa,05_alluvial
OIS1 (Holocene) dune deposits,Sand dunes.,sand,Holocene windblown deposits,Holocene sediments,Q1d,09_dune
Undifferentiated Seymour Group sandstone,Fine grained sandstone  commonly sulphurous muddy siltstone  conglomerate  micritic limestone and turbidites.,sandstone,Late Cretaceous sedimentary rocks,Seymour Group,Ky,19_undifSed
OIS1 (Holocene) fan deposits,Alluvial fan  scree  and colluvial deposits consisting of poorly sorted gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
OIS1 (Holocene) landslide deposits,Earthflow deposits containing poorly sorted clasts up to boulder size in a clay matrix.,boulders,Holocene hill slope deposits,Holocene sediments,Q1l,99_unknown
Esk Head melange (Kaweka Terrane),Deformed sandstone  minor mudstone  coloured mudstone  limestone  and basalt commonly as broken formation or melange.,sandstone,Basement (Eastern Province) melange,Kaweka Terrane,Tem,19_undifSed
Amuri Formation (Muzzle and Eyre groups),Pale  creamy  hard  siliceous  micritic limestone locally interbedded with siltstone  marl  sandstone  chert or greensand  locally pink.,limestone,Paleogene sedimentary rocks,Muzzle Group and Eyre Group,Pza,19_undifSed
Undifferentiated Pleistocene to Holocene river deposits,Undifferentiated weathered  poorly sorted loess covered alluvial gravel deposits.,gravel,Pleistocene   Holocene river deposits,Pleistocene   Holocene sediments,uQa,05_alluvial
OIS1 (Holocene) scree deposits,Postglacial scree deposits.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,99_unknown
Undifferentiated Pleistocene to Holocene river deposits,Undifferentiated weathered  poorly sorted loess covered alluvial gravel deposits.,gravel,Pleistocene   Holocene river deposits,Pleistocene   Holocene sediments,uQa,05_alluvial
Undifferentiated late Cretaceous basalt and gabbro,Undifferentiated mafic igneous rock.,basalt,Late Cretaceous igneous rocks,Late Cretaceous igneous rocks,Ki,17_igneous
Undifferentiated Seymour Group sandstone,Fine grained sandstone  commonly sulphurous muddy siltstone  conglomerate  micritic limestone and turbidites.,sandstone,Late Cretaceous sedimentary rocks,Seymour Group,Ky,19_undifSed
OIS1 (Holocene) river deposits,River gravel and sand  including modern river beds.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
OIS3 (Late Pleistocene) fan deposits,Poorly sorted steep fan gravel deposits.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q3a,05_alluvial
OIS1 (Holocene) fan deposits,Alluvial fan  scree  and colluvial deposits consisting of poorly sorted gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
